name	version	top_level_modules	requires_dist
munkres	1.1.4	munkres	
natsort	8.4.0	natsort	fastnumbers (>=2.0.0) ; extra == 'fast'||PyICU (>=1.0.0) ; extra == 'icu'
networkx	3.4.2	networkx	numpy>=1.24; extra == "default"||scipy!=1.11.0,!=1.11.1,>=1.10; extra == "default"||matplotlib>=3.7; extra == "default"||pandas>=2.0; extra == "default"||changelist==0.5; extra == "developer"||pre-commit>=3.2; extra == "developer"||mypy>=1.1; extra == "developer"||rtoml; extra == "developer"||sphinx>=7.3; extra == "doc"||pydata-sphinx-theme>=0.15; extra == "doc"||sphinx-gallery>=0.16; extra == "doc"||numpydoc>=1.8.0; extra == "doc"||pillow>=9.4; extra == "doc"||texext>=0.6.7; extra == "doc"||myst-nb>=1.1; extra == "doc"||intersphinx-registry; extra == "doc"||osmnx>=1.9; extra == "example"||momepy>=0.7.2; extra == "example"||contextily>=1.6; extra == "example"||seaborn>=0.13; extra == "example"||cairocffi>=1.7; extra == "example"||igraph>=0.11; extra == "example"||scikit-learn>=1.5; extra == "example"||lxml>=4.6; extra == "extra"||pygraphviz>=1.14; extra == "extra"||pydot>=3.0.1; extra == "extra"||sympy>=1.10; extra == "extra"||pytest>=7.2; extra == "test"||pytest-cov>=4.0; extra == "test"
ninja	1.13.0		
numba	0.65.1	numba	llvmlite<0.48,>=0.47.0dev0||numpy>=1.22||numpy<2.5,>=1.22
numpy	1.26.4		
opencv-python	5.0.0		
opencv-python-headless	5.0.0		
optree	0.19.1	optree	typing-extensions>=4.6.0||typing-extensions>=4.12.0; python_version >= "3.13"||attrs; extra == "attrs"||jax; extra == "jax"||numpy; extra == "numpy"||torch; extra == "torch"||cpplint; extra == "lint"||doc8; extra == "lint"||mypy; extra == "lint"||pre-commit; extra == "lint"||pyenchant; extra == "lint"||pylint[spelling]; extra == "lint"||ruff; extra == "lint"||xdoctest; extra == "lint"||pytest; extra == "test"||pytest-cov; extra == "test"||covdefaults; extra == "test"||rich; extra == "test"||typing-extensions==4.6.0; (python_version < "3.13" and platform_system == "Linux") and extra == "test"||typing-extensions==4.6.0; (python_version < "3.13" and platform_system == "Darwin") and extra == "test"||typing-extensions==4.6.0; (python_version < "3.13" and platform_system == "Windows") and extra == "test"||typing-extensions==4.12.0; (python_version >= "3.13" and platform_system == "Linux") and extra == "test"||typing-extensions==4.12.0; (python_version >= "3.13" and platform_system == "Darwin") and extra == "test"||typing-extensions==4.12.0; (python_version >= "3.13" and platform_system == "Windows") and extra == "test"||sphinx~=8.0; extra == "docs"||sphinx-autoapi; extra == "docs"||sphinx-autobuild; extra == "docs"||sphinx-autodoc-typehints; extra == "docs"||sphinx-copybutton; extra == "docs"||sphinx-rtd-theme; extra == "docs"||sphinxcontrib-bibtex; extra == "docs"||docutils; extra == "docs"||attrs; extra == "docs"||jax[cpu]; extra == "docs"||numpy; extra == "docs"||torch; extra == "docs"
packaging	26.2		
